time,P,G(i),H_sun,T2m,WS10m,Int
20230313:0511,0,0,0,10.89,8.48,0
20230313:0611,0,0,0,11.21,9.03,0
20230313:0711,10.97,24.81,9.9,11.81,9.59,0
20230313:0811,116.99,152.11,18.22,11.93,9.59,0
20230313:0911,268.32,320.6,25.42,12.23,9.79,0
20230313:1011,240.87,291.84,30.93,13.07,9.72,0
20230313:1111,121.04,158.04,34.12,13.76,11.93,0
20230313:1211,622.85,729.57,34.53,14.35,12.34,0
20230313:1311,485.2,570.04,32.09,14.21,10.69,0
20230313:1411,233.29,283.46,27.19,13.65,10.28,0
20230313:1511,429.44,505.26,20.4,13.35,10.28,0
20230313:1611,228.77,288.04,12.34,12.72,9.86,0
20230313:1711,4.93,16.35,3.53,11.96,8.76,0
20230313:1811,0,0,0,11.23,7.93,0
20230313:1911,0,0,0,11.35,7.24,0
20230313:2011,0,0,0,11.05,6.41,0
20230313:2111,0,0,0,10.66,5.72,0
20230313:2211,0,0,0,10.33,5.86,0
20230313:2311,0,0,0,10.14,6.48,0
20230314:0011,0,0,0,10.05,6.76,0
20230314:0111,0,0,0,9.74,7.03,0
20230314:0211,0,0,0,9.47,7.24,0
20230314:0311,0,0,0,9.14,7.03,0
20230314:0411,0,0,0,8.91,6.69,0
20230314:0511,0,0,0,8.78,6.21,0
20230314:0611,0,0,0,8.53,5.93,0
20230314:0711,85.95,119.13,10.26,7.64,5.59,0
20230314:0811,133.66,167.23,18.59,6.1,6.34,0
20230314:0911,207.82,247.78,25.81,5.64,5.86,0
20230314:1011,191.03,230.52,31.33,6.39,6.69,0
20230314:1111,740.08,853.27,34.52,6.86,7.59,0
20230314:1211,760.83,878.5,34.91,6.87,7.59,0
20230314:1311,623.13,714.75,32.46,6.67,7.17,0
20230314:1411,456.47,522.7,27.52,6.65,7.03,0
20230314:1511,171.59,208.69,20.71,6.41,6.83,0
20230314:1611,89.18,119.1,12.63,5.97,6.21,0
20230314:1711,6.82,18.94,3.81,5.28,5.03,0
20230314:1811,0,0,0,4.39,4.21,0
20230314:1911,0,0,0,4.09,4.07,0
20230314:2011,0,0,0,3.83,4,0
20230314:2111,0,0,0,3.58,3.79,0
20230314:2211,0,0,0,3.14,3.93,0
20230314:2311,0,0,0,2.99,3.72,0
20230315:0011,0,0,0,2.53,3.38,0
20230315:0111,0,0,0,1.84,2.9,0
20230315:0211,0,0,0,1.31,2.76,0
20230315:0311,0,0,0,1.1,2.62,0
20230315:0411,0,0,0,1.3,2.41,0
20230315:0511,0,0,0,1.04,2.34,0
20230315:0611,0,0.92,1.67,0.64,2.14,0
20230315:0711,185.16,236.76,10.62,0.75,1.45,0
20230315:0811,421.02,492.72,18.96,3.41,1.72,0
20230315:0911,601.5,709.31,26.2,4.89,1.86,0
20230315:1011,736.59,890.21,31.72,5.91,1.79,0
20230315:1111,806.98,986.26,34.92,6.78,2.14,0
20230315:1211,822.15,1005.46,35.3,7.51,2.48,0
20230315:1311,744.31,895.6,32.82,7.93,2.9,0
20230315:1411,613.88,727.19,27.85,8.19,3.03,0
20230315:1511,376.9,444.08,21.01,8.21,3.24,0
20230315:1611,162.39,205.99,12.91,7.89,3.17,0
20230315:1711,8.9,22.88,4.08,6.92,2.48,0
20230315:1811,0,0,0,5.64,2.55,0
20230315:1911,0,0,0,4.97,2.55,0
20230315:2011,0,0,0,4.65,2.9,0
20230315:2111,0,0,0,4.52,3.38,0
20230315:2211,0,0,0,4.54,4,0
20230315:2311,0,0,0,4.55,4.48,0
20230316:0011,0,0,0,4.58,4.76,0
20230316:0111,0,0,0,4.52,4.9,0
20230316:0211,0,0,0,4.41,4.83,0
20230316:0311,0,0,0,4.07,4.76,0
20230316:0411,0,0,0,4.03,4.83,0
20230316:0511,0,0,0,4.24,5.03,0
20230316:0611,0,0.92,2.03,4.48,5.24,0
20230316:0711,3.57,12.86,10.99,5.17,5.79,0
20230316:0811,70.41,96.52,19.34,5.69,6.07,0
20230316:0911,146.6,181.74,26.58,6.4,6.28,0
20230316:1011,396.88,459.7,32.12,7.23,5.66,0
20230316:1111,260.42,309.57,35.32,8.35,6.21,0
20230316:1211,325.72,383.88,35.69,9.45,6.28,0
20230316:1311,497.7,582.19,33.19,10.36,6.14,0
20230316:1411,318,377.39,28.19,11.32,6.07,0
20230316:1511,305.68,365.21,21.32,11.99,5.93,0
20230316:1611,111.73,148.91,13.2,12.17,5.52,0
20230316:1711,10.77,26.57,4.35,11.31,5.1,0
20230316:1811,0,0,0,10.22,5.1,0
20230316:1911,0,0,0,9.41,5.1,0
20230316:2011,0,0,0,9.13,5.24,0
20230316:2111,0,0,0,8.81,5.17,0
20230316:2211,0,0,0,8.51,4.9,0
20230316:2311,0,0,0,8.38,4.83,0
20230317:0011,0,0,0,8.6,4.76,0
20230317:0111,0,0,0,8.81,4.55,0
20230317:0211,0,0,0,8.82,4.28,0
20230317:0311,0,0,0,8.64,4.07,0
20230317:0411,0,0,0,8.15,3.93,0
20230317:0511,0,0,0,7.49,3.79,0
20230317:0611,0,2.76,2.39,7.2,3.59,0
20230317:0711,70.17,99.03,11.35,7.45,3.79,0
20230317:0811,306.8,365.24,19.71,8.62,3.45,0
20230317:0911,571.84,677.59,26.97,10.4,3.86,0
20230317:1011,564.07,671.69,32.52,11.81,4.28,0
20230317:1111,522.72,625.96,35.72,13.03,4.28,0
20230317:1211,228.7,283.07,36.08,13.93,3.52,0
20230317:1311,206.84,258.03,33.55,14.2,3.52,0
20230317:1411,164.47,209.82,28.52,14.56,2.69,0
20230317:1511,332.88,405.36,21.62,14.63,3.03,0
20230317:1611,57.57,85.19,13.48,14.35,3.1,0
20230317:1711,0,3.68,4.62,13.53,3.1,0
20230317:1811,0,0,0,12.19,2.97,0
20230317:1911,0,0,0,12.14,2.14,0
20230317:2011,0,0,0,11.8,2.34,0
20230317:2111,0,0,0,11.55,2.83,0
20230317:2211,0,0,0,11.61,3.17,0
20230317:2311,0,0,0,11.03,3.31,0
20230318:0011,0,0,0,10.18,2.83,0
20230318:0111,0,0,0,9.2,2.55,0
20230318:0211,0,0,0,8.51,2.55,0
20230318:0311,0,0,0,7.88,2.41,0
20230318:0411,0,0,0,7.65,2.34,0
20230318:0511,0,0,0,7.38,2.07,0
20230318:0611,0,3.68,2.75,7.12,2.28,0
20230318:0711,171.46,224.89,11.72,8.21,2.48,0
20230318:0811,310.91,372.89,20.09,9.8,2.83,0
20230318:0911,569.53,681.33,27.36,11.35,3.24,0
20230318:1011,509.32,613.03,32.92,12.42,2.9,0
20230318:1111,331.87,401.84,36.12,13.09,3.03,0
20230318:1211,124.15,162.63,36.47,13.46,3.24,0
20230318:1311,251.78,309.28,33.91,14.13,3.79,0
20230318:1411,227.53,281.4,28.85,14.82,4.28,0
20230318:1511,438.11,528.71,21.92,15.02,4.48,0
20230318:1611,211.34,270.93,13.76,14.19,3.72,0
20230318:1711,13.84,31.48,4.89,12.54,4.14,0
20230318:1811,0,0,0,11.73,4.21,0
20230318:1911,0,0,0,11.33,3.72,0
20230318:2011,0,0,0,11.29,3.93,0
20230318:2111,0,0,0,11.08,4.07,0
20230318:2211,0,0,0,10.59,4,0
20230318:2311,0,0,0,10.27,3.79,0
20230319:0011,0,0,0,9.87,3.66,0
20230319:0111,0,0,0,9.25,3.38,0
20230319:0211,0,0,0,8.79,3.17,0
20230319:0311,0,0,0,8.36,3.03,0
20230319:0411,0,0,0,7.67,2.9,0
20230319:0511,0,0,0,7.34,2.76,0
20230319:0611,0,5.51,3.11,6.77,2.69,0
20230319:0711,55.47,80.89,12.08,7.81,3.79,0
20230319:0811,81.18,110.22,20.46,8.64,3.86,0
20230319:0911,77.64,106.58,27.75,9.46,3.59,0
20230319:1011,78.86,108.42,33.32,10.36,3.31,0
20230319:1111,126.24,163.55,36.52,11.33,3.31,0
20230319:1211,111.63,147.01,36.86,11.69,3.17,0
20230319:1311,83.66,114.85,34.28,12.16,3.17,0
20230319:1411,75.85,105.67,29.18,12.01,3.1,0
20230319:1511,61.96,89.13,22.23,11.58,3.17,0
20230319:1611,42.91,66.17,14.04,11.01,3.31,0
20230319:1711,3.45,12.86,5.16,10.12,3.59,0
20230319:1811,0,0,0,9.06,3.03,0
20230319:1911,0,0,0,8.65,2.48,0
20230319:2011,0,0,0,8.25,2.14,0
20230319:2111,0,0,0,7.85,2.07,0
20230319:2211,0,0,0,7.62,2.34,0
20230319:2311,0,0,0,7.39,2.76,0
20230320:0011,0,0,0,7.34,2.9,0
20230320:0111,0,0,0,7.28,2.9,0
20230320:0211,0,0,0,6.97,3.24,0
20230320:0311,0,0,0,6.74,3.38,0
20230320:0411,0,0,0,6.5,3.59,0
20230320:0511,0,0,0,6.34,3.72,0
20230320:0611,0,2.76,3.47,6.45,3.79,0
20230320:0711,20.12,36.75,12.45,6.51,4.07,0
20230320:0811,50.82,74.43,20.84,6.96,3.86,0
20230320:0911,155.76,193,28.14,7.6,5.59,0
20230320:1011,147.75,184.62,33.72,7.85,5.52,0
20230320:1111,163.95,203.01,36.93,8.09,5.31,0
20230320:1211,117.25,150.69,37.25,8.01,5.45,0
20230320:1311,109.95,142.42,34.64,7.85,5.1,0
20230320:1411,53.78,78.1,29.51,7.71,4.55,0
20230320:1511,39.08,60.64,22.53,7.89,4.62,0
20230320:1611,22.79,40.43,14.32,8.04,4.21,0
20230320:1711,0,4.59,5.43,8.2,3.93,0
20230320:1811,0,0,0,8.38,3.72,0
20230320:1911,0,0,0,8.86,3.86,0
20230320:2011,0,0,0,8.92,3.86,0
20230320:2111,0,0,0,8.94,3.86,0
20230320:2211,0,0,0,8.88,3.93,0
20230320:2311,0,0,0,8.8,3.93,0
20230321:0011,0,0,0,8.72,3.72,0
20230321:0111,0,0,0,8.59,3.72,0
20230321:0211,0,0,0,8.54,3.66,0
20230321:0311,0,0,0,8.54,3.52,0
20230321:0411,0,0,0,8.5,3.38,0
20230321:0511,0,0,0,8.57,3.52,0
20230321:0611,0,3.68,3.83,8.56,3.52,0
20230321:0711,0,0,0,8.68,3.72,0
20230321:0811,0,0,0,8.9,4,0
20230321:0911,73.83,101.99,28.53,9.15,4.21,0
20230321:1011,156.44,196.52,34.12,10.06,4.21,0
20230321:1111,204.88,251.8,37.33,11.49,6.07,0
20230321:1211,240.67,292.81,37.64,12.16,6.21,0
20230321:1311,389.83,462.33,35,12.64,6.48,0
20230321:1411,87.59,119.45,29.84,12.92,6.48,0
20230321:1511,53.31,79.02,22.83,12.51,5.1,0
20230321:1611,36.03,57.89,14.6,12.19,5.17,0
20230321:1711,23.78,47.59,5.7,11.79,5.38,0
20230321:1811,0,0,0,11.26,5.45,0
20230321:1911,0,0,0,10.73,5.45,0
20230321:2011,0,0,0,10.21,5.59,0
20230321:2111,0,0,0,9.95,5.72,0
20230321:2211,0,0,0,9.55,5.66,0
20230321:2311,0,0,0,9.24,5.59,0
20230322:0011,0,0,0,9.08,5.45,0
20230322:0111,0,0,0,8.92,5.1,0
20230322:0211,0,0,0,9.01,4.69,0
20230322:0311,0,0,0,9.47,4.9,0
20230322:0411,0,0,0,9.77,5.45,0
20230322:0511,0,0,0,9.7,5.86,0
20230322:0611,4.91,16.01,4.19,9.18,6.21,0
20230322:0711,0,0,0,10.22,6.97,0
20230322:0811,46.96,70.75,21.59,10.5,6.83,0
20230322:0911,59.37,85.45,28.92,10.4,6.83,0
20230322:1011,123.63,158.96,34.52,10.08,7.38,0
20230322:1111,128.78,164.47,37.73,9.62,7.31,0
20230322:1211,80.99,110.26,38.02,9.67,7.03,0
20230322:1311,64.25,90.96,35.36,9.83,6.83,0
20230322:1411,59.42,85.45,30.17,10.23,6.69,0
20230322:1511,30.46,50.54,23.13,10.4,6.55,0
20230322:1611,79.04,109.05,14.88,10.66,6.41,0
20230322:1711,0.3,6.43,5.97,10.81,6.34,0
20230322:1811,0,0,0,10.83,6.55,0
20230322:1911,0,0,0,11.09,6.21,0
20230322:2011,0,0,0,11.09,6.21,0
20230322:2111,0,0,0,10.96,6.34,0
20230322:2211,0,0,0,10.82,6.34,0
20230322:2311,0,0,0,10.81,6.55,0
20230323:0011,0,0,0,10.84,6.55,0
20230323:0111,0,0,0,10.95,6.69,0
20230323:0211,0,0,0,10.75,7.24,0
20230323:0311,0,0,0,10.41,7.38,0
20230323:0411,0,0,0,10.33,7.86,0
20230323:0511,0,0,0,10.32,7.93,0
20230323:0611,9.37,23.58,4.55,9.74,7.38,0
20230323:0711,71.61,100.7,13.54,10.2,6.48,0
20230323:0811,385.78,455.23,21.97,10.76,6.62,0
20230323:0911,483.21,564.61,29.31,11.46,7.66,0
20230323:1011,451.33,530.6,34.92,12.18,7.59,0
20230323:1111,447.47,529.48,38.13,12.9,7.03,0
20230323:1211,272.13,330.21,38.41,13.64,6.69,0
20230323:1311,59.1,86.37,35.72,13.96,6.76,0
20230323:1411,561.42,666.88,30.5,14.26,6.76,0
20230323:1511,339.03,407.39,23.42,14.25,6.14,0
20230323:1611,208.49,263.88,15.16,12.9,5.93,0
20230323:1711,5.53,16.54,6.23,12.6,5.24,0
20230323:1811,0,0,0,11.89,4.76,0
20230323:1911,0,0,0,11.91,4.97,0
20230323:2011,0,0,0,11.49,5.45,0
20230323:2111,0,0,0,11.62,5.93,0
20230323:2211,0,0,0,11.7,6.48,0
20230323:2311,0,0,0,11.75,6.76,0
20230324:0011,0,0,0,11.93,7.45,0
20230324:0111,0,0,0,12.01,8.14,0
20230324:0211,0,0,0,11.86,7.86,0
20230324:0311,0,0,0,11.41,7.66,0
20230324:0411,0,0,0,10.36,6.9,0
20230324:0511,0,0,0,9.27,6.41,0
20230324:0611,2.47,11.03,4.91,8.76,6.28,0
20230324:0711,114.35,151.33,13.91,9.34,7.1,0
20230324:0811,300.4,355.67,22.34,9.97,7.72,0
20230324:0911,403.35,472.22,29.7,10.99,7.59,0
20230324:1011,434.99,512.77,35.32,12.02,6.76,0
20230324:1111,616.67,730.77,38.53,12.69,6.76,0
20230324:1211,404.08,476.23,38.8,11.85,7.72,0
20230324:1311,407.53,482.3,36.08,12.57,6.9,0
20230324:1411,284.97,342.69,30.82,13.04,6.9,0
20230324:1511,248.86,299.86,23.72,11.65,7.38,0
20230324:1611,265.28,329.82,15.43,11.22,6.21,0
20230324:1711,28.52,52.86,6.5,11.02,6.97,0
20230324:1811,0,0,0,10.24,6.55,0
20230324:1911,0,0,0,10.12,6.97,0
20230324:2011,0,0,0,9.56,7.03,0
20230324:2111,0,0,0,9.32,7.17,0
20230324:2211,0,0,0,9.17,7.38,0
20230324:2311,0,0,0,8.9,7.45,0
20230325:0011,0,0,0,8.7,7.66,0
20230325:0111,0,0,0,8.42,7.45,0
20230325:0211,0,0,0,8.15,7.66,0
20230325:0311,0,0,0,8.13,8,0
20230325:0411,0,0,0,7.82,7.66,0
20230325:0511,0,0,0,7.63,7.86,0
20230325:0611,10.34,24.09,5.27,7.42,7.31,0
20230325:0711,62.8,89,14.27,7.87,7.59,0
20230325:0811,86.08,115.62,22.72,8.7,6.9,0
20230325:0911,159.11,197.8,30.08,9.19,7.38,0
20230325:1011,231.43,278.41,35.72,9.72,8.34,0
20230325:1111,152.87,191.94,38.93,10.49,9.1,0
20230325:1211,241.02,289.74,39.18,10.45,9.93,0
20230325:1311,704.65,820.6,36.43,11.12,9.72,0
20230325:1411,327.21,385.45,31.14,11.18,9.59,0
20230325:1511,29.62,49.62,24.02,11.23,9.45,0
20230325:1611,34.2,55.13,15.71,10.18,8.41,0
20230325:1711,43.37,77.79,6.76,9.61,7.86,0
20230325:1811,0,0,0,8.91,6.55,0
20230325:1911,0,0,0,8.91,5.17,0
20230325:2011,0,0,0,8.2,4.21,0
20230325:2111,0,0,0,7.79,3.72,0
20230325:2211,0,0,0,7.16,3.24,0
20230325:2311,0,0,0,7,3.03,0
20230326:0011,0,0,0,6.69,2.9,0
20230326:0111,0,0,0,6.33,2.34,0
20230326:0211,0,0,0,5.92,1.86,0
20230326:0311,0,0,0,5.23,1.93,0
20230326:0411,0,0,0,4.94,1.52,0
20230326:0511,0,0,0,5.04,0.97,0
20230326:0611,3.56,12.86,5.63,5.09,1.38,0
20230326:0711,45.84,68.64,14.64,6.84,2.69,0
20230326:0811,67.25,93.72,23.09,7.34,3.45,0
20230326:0911,92.96,123.12,30.47,7.35,3.72,0
20230326:1011,132.85,168.15,36.12,7.47,4.07,0
20230326:1111,250.6,299.45,39.33,7.66,4.48,0
20230326:1211,400.3,468.22,39.57,8.03,4.83,0
20230326:1311,391.85,457.67,36.79,8.23,5.31,0
20230326:1411,306.33,360.77,31.47,8.67,5.93,0
20230326:1511,240.95,287.58,24.31,8.46,6.34,0
20230326:1611,119.12,153.79,15.98,7.7,6.41,0
20230326:1711,33.13,58.31,7.03,6.88,6.21,0
20230326:1811,0,0,0,5.76,5.86,0
20230326:1911,0,0,0,5.18,5.38,0
20230326:2011,0,0,0,4.92,5.1,0
20230326:2111,0,0,0,4.74,4.69,0
20230326:2211,0,0,0,4.56,4.14,0
20230326:2311,0,0,0,4.19,3.72,0
20230327:0011,0,0,0,3.9,3.72,0
20230327:0111,0,0,0,3.59,3.66,0
20230327:0211,0,0,0,3.36,3.59,0
20230327:0311,0,0,0,3.31,3.93,0
20230327:0411,0,0,0,3.29,4.21,0
20230327:0511,0,0,0,3.1,4.28,0
20230327:0611,19.06,36.95,5.99,3.3,4.34,0
20230327:0711,238.55,295.24,15,3.94,4.21,0
20230327:0811,488.68,561.25,23.47,4.93,5.79,0
20230327:0911,300.44,349.28,30.86,5.53,6.14,0
20230327:1011,609.07,701.57,36.52,6.35,6.21,0
20230327:1111,419.32,485.14,39.73,6.9,6.28,0
20230327:1211,318.25,372.46,39.95,7.12,6.34,0
20230327:1311,677.62,785.2,37.14,7.13,6.41,0
20230327:1411,178.6,217.82,31.79,7.14,6.55,0
20230327:1511,376.82,435.6,24.6,6.7,6.76,0
20230327:1611,284.67,344.67,16.26,6.25,6.48,0
20230327:1711,59.12,103.92,7.29,5.68,5.66,0
20230327:1811,0,0,0,4.85,4.62,0
20230327:1911,0,0,0,4.05,4.21,0
20230327:2011,0,0,0,3.63,3.79,0
20230327:2111,0,0,0,3.3,3.45,0
20230327:2211,0,0,0,2.92,3.17,0
20230327:2311,0,0,0,2.47,2.83,0
20230328:0011,0,0,0,2,2.62,0
20230328:0111,0,0,0,1.61,2.48,0
20230328:0211,0,0,0,1.03,2.41,0
20230328:0311,0,0,0,0.82,2.48,0
20230328:0411,0,0,0,0.9,2.48,0
20230328:0511,0,0,0,0.81,2.48,0
20230328:0611,21.23,39.78,6.35,0.74,2.62,0
20230328:0711,226.24,278.24,15.37,1.7,2.55,0
20230328:0811,348.61,404.17,23.84,3.35,2.9,0
20230328:0911,467.88,540.79,31.24,4.83,3.38,0
20230328:1011,406.69,471.49,36.92,5.77,4.21,0
20230328:1111,421.59,488.9,40.13,6.23,4.76,0
20230328:1211,245.9,292.73,40.33,6.76,5.17,0
20230328:1311,118.42,151.61,37.5,7.34,5.31,0
20230328:1411,342.47,399.58,32.11,7.16,5.1,0
20230328:1511,77.12,104.75,24.89,6.8,4.55,0
20230328:1611,57.79,82.45,16.53,6.34,3.52,0
20230328:1711,9.4,22.05,7.55,5.92,3.38,0
20230328:1811,0,0,0,5.7,3.38,0
20230328:1911,0,0,0,5.93,3.38,0
20230328:2011,0,0,0,5.82,4.07,0
20230328:2111,0,0,0,5.65,4.34,0
20230328:2211,0,0,0,5.37,4.41,0
20230328:2311,0,0,0,5.24,4.21,0
20230329:0011,0,0,0,5.31,4.21,0
20230329:0111,0,0,0,5.35,4.14,0
20230329:0211,0,0,0,5.6,3.93,0
20230329:0311,0,0,0,5.85,3.66,0
20230329:0411,0,0,0,6.13,3.45,0
20230329:0511,0,0,0,6.26,3.24,0
20230329:0611,6.33,17.46,6.7,6.28,3.1,0
20230329:0711,89.43,120.19,15.73,7.36,3.1,0
20230329:0811,161.74,201.1,24.21,8.21,2.97,0
20230329:0911,190.09,233.9,31.63,9.57,3.72,0
20230329:1011,265.04,319.46,37.31,10.78,4.69,0
20230329:1111,217.57,267.06,40.53,11.22,4.14,0
20230329:1211,156.2,198.32,40.72,12.26,4.14,0
20230329:1311,123.92,161.71,37.85,13.02,4.69,0
20230329:1411,131.37,170.59,32.43,13.46,4.34,0
20230329:1511,65.96,94.64,25.18,13.74,3.66,0
20230329:1611,35.81,57.89,16.8,13.13,3.17,0
20230329:1711,14.76,30.32,7.81,12.76,3.24,0
20230329:1811,0,0,0,12.28,3.72,0
20230329:1911,0,0,0,11.94,4.14,0
20230329:2011,0,0,0,11.67,4.28,0
20230329:2111,0,0,0,11.67,4.34,0
20230329:2211,0,0,0,11.67,4.55,0
20230329:2311,0,0,0,11.72,4.34,0
20230330:0011,0,0,0,11.91,4.97,0
20230330:0111,0,0,0,12.24,6.07,0
20230330:0211,0,0,0,12,6.07,0
20230330:0311,0,0,0,11.87,6.07,0
20230330:0411,0,0,0,11.69,6.21,0
20230330:0511,0,0,0,11.46,6.41,0
20230330:0611,38.9,78,7.06,11.37,6.83,0
20230330:0711,82.32,113.42,16.09,11.77,7.93,0
20230330:0811,172.78,215.25,24.58,11.94,7.72,0
20230330:0911,600.5,700.64,32.01,12.07,9.03,0
20230330:1011,572.56,669.67,37.71,12.48,9.59,0
20230330:1111,491.93,579.76,40.92,13.28,8.97,0
20230330:1211,458.12,542.9,41.1,13.78,8.21,0
20230330:1311,332.16,395.35,38.2,12.89,9.03,0
20230330:1411,326.78,388.65,32.74,12.7,8.34,0
20230330:1511,208.15,255.57,25.47,12.96,8.62,0
20230330:1611,207.19,260.78,17.07,12.78,7.52,0
20230330:1711,58.04,102.88,8.07,12.36,6.9,0
20230330:1811,0,0,0,11.52,6.21,0
20230330:1911,0,0,0,11.05,5.66,0
20230330:2011,0,0,0,10.52,5.52,0
20230330:2111,0,0,0,10.07,5.38,0
20230330:2211,0,0,0,9.65,5.03,0
20230330:2311,0,0,0,9.41,4.62,0
20230331:0011,0,0,0,9.2,4.28,0
20230331:0111,0,0,0,9.18,4.34,0
20230331:0211,0,0,0,9.2,4.28,0
20230331:0311,0,0,0,9.44,4.28,0
20230331:0411,0,0,0,9.61,4.28,0
20230331:0511,0,0,0,9.64,4.48,0
20230331:0611,23.18,42.81,7.42,9.68,5.17,0
20230331:0711,17.72,34,16.45,9.74,4.97,0
20230331:0811,85.57,115.77,24.95,9.89,5.03,0
20230331:0911,118.31,153.22,32.4,10.23,5.66,0
20230331:1011,266.51,320.46,38.1,10.74,5.59,0
20230331:1111,144.07,182.85,41.32,10.72,5.72,0
20230331:1211,300.7,359.99,41.48,11.03,5.45,0
20230331:1311,167.22,209.94,38.55,11.6,5.03,0
20230331:1411,149.96,190.44,33.06,11.86,4.97,0
20230331:1511,130.18,167.49,25.76,11.52,5.1,0
20230331:1611,35.47,56.97,17.33,11.19,5.03,0
20230331:1711,9.77,22.97,8.33,10.64,4.83,0
20230331:1811,0,0,0,10.2,4.69,0
20230331:1911,0,0,0,9.96,4.69,0
20230331:2011,0,0,0,9.85,4.83,0
20230331:2111,0,0,0,9.74,4.76,0
20230331:2211,0,0,0,9.61,4.48,0
20230331:2311,0,0,0,9.4,3.93,0
20230401:0011,0,0,0,9.16,3.1,0
20230401:0111,0,0,0,8.95,2.55,0
20230401:0211,0,0,0,8.82,2.41,0
20230401:0311,0,0,0,8.75,2.48,0
20230401:0411,0,0,0,8.66,2.69,0
20230401:0511,0,0,0,8.63,2.9,0
20230401:0611,25.91,46.49,7.77,8.61,2.97,0
20230401:0711,47.27,70.75,16.81,8.78,3.52,0
20230401:0811,136.28,173.07,25.32,9.06,3.45,0
20230401:0911,144.08,182.22,32.78,9.58,4.14,0
20230401:1011,155.83,196.25,38.49,10.2,3.72,0
20230401:1111,67.12,94.64,41.71,10.13,3.38,0
20230401:1211,172.37,215.58,41.85,10.56,3.38,0
20230401:1311,161.84,203.63,38.9,10.78,3.66,0
20230401:1411,65.4,92.8,33.37,10.72,3.93,0
20230401:1511,64.12,90.96,26.04,9.94,4.76,0
20230401:1611,62.81,89.36,17.6,9.57,5.03,0
20230401:1711,15.75,31.24,8.59,8.9,5.03,0
20230401:1811,0,0,0,8.08,5.93,0
20230401:1911,0,0,0,7.79,5.38,0
20230401:2011,0,0,0,7.37,5.45,0
20230401:2111,0,0,0,6.95,5.72,0
20230401:2211,0,0,0,6.61,5.86,0
20230401:2311,0,0,0,6.3,5.66,0
20230402:0011,0,0,0,6.01,5.59,0
20230402:0111,0,0,0,5.67,5.52,0
20230402:0211,0,0,0,5.2,5.59,0
20230402:0311,0,0,0,4.62,5.52,0
20230402:0411,0,0,0,3.88,5.52,0
20230402:0511,0,0,0,3.04,5.31,0
20230402:0611,33.58,55.86,8.12,2.57,5.24,0
20230402:0711,102.8,132.47,17.16,2.89,5.72,0
20230402:0811,322.92,371.59,25.69,3.58,6.14,0
20230402:0911,581.94,663.98,33.16,4.59,6,0
20230402:1011,788.38,916.23,38.88,5.62,5.86,0
20230402:1111,858.89,1012.4,42.1,6.66,5.72,0
20230402:1211,883.42,1049.16,42.23,7.64,5.72,0
20230402:1311,806.39,953.52,39.24,8.41,5.66,0
20230402:1411,662.59,776.73,33.68,9,5.45,0
20230402:1511,507.37,594.49,26.33,9.2,5.17,0
20230402:1611,289.03,355.17,17.87,9.11,4.9,0
20230402:1711,67.82,115.98,8.85,8.63,4.14,0
20230402:1811,0,0,0,7.42,3.72,0
20230402:1911,0,0,0,6.47,3.38,0
20230402:2011,0,0,0,5.49,3.66,0
20230402:2111,0,0,0,4.87,3.86,0
20230402:2211,0,0,0,4.43,3.79,0
20230402:2311,0,0,0,3.94,3.72,0
20230403:0011,0,0,0,3.42,3.59,0
20230403:0111,0,0,0,2.91,3.45,0
20230403:0211,0,0,0,2.38,3.38,0
20230403:0311,0,0,0,1.92,3.38,0
20230403:0411,0,0,0,1.48,3.38,0
20230403:0511,0,0,0,1.05,3.38,0
20230403:0611,56.92,101.8,8.47,1.04,3.45,0
20230403:0711,286.63,347.04,17.52,2.32,3.72,0
20230403:0811,513.33,589.5,26.05,3.64,4.41,0
20230403:0911,687.8,797.3,33.53,5.09,4.62,0
20230403:1011,806.74,949.19,39.27,6.36,5.03,0
20230403:1111,874.98,1041.36,42.49,7.29,5.24,0
20230403:1211,876,1045.94,42.6,7.99,5.31,0
20230403:1311,814.62,968.49,39.58,8.44,5.17,0
20230403:1411,677.3,795.73,33.99,8.68,5.1,0
20230403:1511,521.5,610.36,26.61,8.61,4.97,0
20230403:1611,295.69,361.94,18.13,8.35,4.76,0
20230403:1711,72.83,123.85,9.11,7.76,3.86,0
20230403:1811,0,0,0,6.5,3.38,0
20230403:1911,0,0,0,5.19,3.31,0
20230403:2011,0,0,0,4.23,3.24,0
20230403:2111,0,0,0,3.42,3.17,0
20230403:2211,0,0,0,2.77,2.97,0
20230403:2311,0,0,0,2.24,2.76,0
20230404:0011,0,0,0,1.79,2.62,0
20230404:0111,0,0,0,1.31,2.41,0
20230404:0211,0,0,0,0.79,2.28,0
20230404:0311,0,0,0,0.13,2.14,0
20230404:0411,0,0,0,-0.67,1.93,0
20230404:0511,0,0,0,-1.46,1.79,0
20230404:0611,60.94,106.2,8.82,-1.52,1.72,0
20230404:0711,282.74,345.03,17.87,1.76,1.17,0
20230404:0811,486.47,574.58,26.42,4.17,1.1,0
20230404:0911,651.18,783.77,33.91,5.88,1.31,0
20230404:1011,769.52,938.56,39.66,6.97,2,0
20230404:1111,829.31,1021.9,42.88,7.7,2.28,0
20230404:1211,838.16,1038.99,42.98,8.27,2.21,0
20230404:1311,777.69,956.19,39.93,8.63,2.14,0
20230404:1411,635.13,765.38,34.3,8.8,2.14,0
20230404:1511,468.71,558.31,26.89,8.86,2.28,0
